"","#Method","IterScale","Repeat","Metric","Value","TreeName","Time","PGSExperiments.iterScalings","gen.nTaxa"
"94","SMC4K2P",45,8,"RobinsonFouldsMetric",0.183168558648126,"sim--274962161.msf",126094,45,40
"95","SMC4K2P",45,8,"KuhnerFelsenstein",0.000970355159901132,"sim--274962161.msf",126094,45,40
"96","SMC4K2P",45,9,"ConsensusLogLL",-5973.06717506677,"sim--274962161.msf",95082,45,40
"97","SMC4K2P",45,9,"BestSampledLogLL",-5972.35153579603,"sim--274962161.msf",95082,45,40
"98","SMC4K2P",45,9,"PartitionMetric",4,"sim--274962161.msf",95082,45,40
"99","SMC4K2P",45,9,"RobinsonFouldsMetric",0.200067135870224,"sim--274962161.msf",95082,45,40
"100","SMC4K2P",45,9,"KuhnerFelsenstein",0.00114121631399654,"sim--274962161.msf",95082,45,40
"101","SMC4K2P",45,0,"ConsensusLogLL",-5412.97789627051,"sim--639330916.msf",56199,45,40
"102","SMC4K2P",45,0,"BestSampledLogLL",-5413.70712189386,"sim--639330916.msf",56199,45,40
"103","SMC4K2P",45,0,"PartitionMetric",12,"sim--639330916.msf",56199,45,40
"104","SMC4K2P",45,0,"RobinsonFouldsMetric",0.19630996937267,"sim--639330916.msf",56199,45,40
"105","SMC4K2P",45,0,"KuhnerFelsenstein",0.00141248878370505,"sim--639330916.msf",56199,45,40
"106","SMC4K2P",45,1,"ConsensusLogLL",-5383.83616039973,"sim--639330916.msf",57397,45,40
"107","SMC4K2P",45,1,"BestSampledLogLL",-5385.00210811709,"sim--639330916.msf",57397,45,40
"108","SMC4K2P",45,1,"PartitionMetric",14,"sim--639330916.msf",57397,45,40
"109","SMC4K2P",45,1,"RobinsonFouldsMetric",0.15949960522252,"sim--639330916.msf",57397,45,40
"110","SMC4K2P",45,1,"KuhnerFelsenstein",0.000769350325353158,"sim--639330916.msf",57397,45,40
"111","SMC4K2P",45,2,"ConsensusLogLL",-5389.02310262009,"sim--639330916.msf",56506,45,40
"112","SMC4K2P",45,2,"BestSampledLogLL",-5388.71667487656,"sim--639330916.msf",56506,45,40
"113","SMC4K2P",45,2,"PartitionMetric",16,"sim--639330916.msf",56506,45,40
"114","SMC4K2P",45,2,"RobinsonFouldsMetric",0.200322992506055,"sim--639330916.msf",56506,45,40
"115","SMC4K2P",45,2,"KuhnerFelsenstein",0.00123085197880169,"sim--639330916.msf",56506,45,40
"116","SMC4K2P",45,3,"ConsensusLogLL",-5377.95544973675,"sim--639330916.msf",57216,45,40
"117","SMC4K2P",45,3,"BestSampledLogLL",-5379.11996734329,"sim--639330916.msf",57216,45,40
"118","SMC4K2P",45,3,"PartitionMetric",14,"sim--639330916.msf",57216,45,40
"119","SMC4K2P",45,3,"RobinsonFouldsMetric",0.150984820479564,"sim--639330916.msf",57216,45,40
"120","SMC4K2P",45,3,"KuhnerFelsenstein",0.000772659403349456,"sim--639330916.msf",57216,45,40
"121","SMC4K2P",45,4,"ConsensusLogLL",-5438.9310819441,"sim--639330916.msf",56642,45,40
"122","SMC4K2P",45,4,"BestSampledLogLL",-5438.30305737838,"sim--639330916.msf",56642,45,40
