"","#Method","IterScale","Repeat","Metric","Value","TreeName","Time","PGSExperiments.iterScalings","gen.nTaxa"
"94","SMC4K2PBF",30,8,"RobinsonFouldsMetric",0.162702482656392,"sim--274962161.msf",339534,30,40
"95","SMC4K2PBF",30,8,"KuhnerFelsenstein",0.000836596155841226,"sim--274962161.msf",339534,30,40
"96","SMC4K2PBF",30,9,"ConsensusLogLL",-6008.8025238836,"sim--274962161.msf",331326,30,40
"97","SMC4K2PBF",30,9,"BestSampledLogLL",-6008.95223561918,"sim--274962161.msf",331326,30,40
"98","SMC4K2PBF",30,9,"PartitionMetric",8,"sim--274962161.msf",331326,30,40
"99","SMC4K2PBF",30,9,"RobinsonFouldsMetric",0.185338014859132,"sim--274962161.msf",331326,30,40
"100","SMC4K2PBF",30,9,"KuhnerFelsenstein",0.000965662019957504,"sim--274962161.msf",331326,30,40
"101","SMC4K2PBF",30,0,"ConsensusLogLL",-5415.71632965497,"sim--639330916.msf",337665,30,40
"102","SMC4K2PBF",30,0,"BestSampledLogLL",-5415.82200744854,"sim--639330916.msf",337665,30,40
"103","SMC4K2PBF",30,0,"PartitionMetric",14,"sim--639330916.msf",337665,30,40
"104","SMC4K2PBF",30,0,"RobinsonFouldsMetric",0.164561384646143,"sim--639330916.msf",337665,30,40
"105","SMC4K2PBF",30,0,"KuhnerFelsenstein",0.000733541549834953,"sim--639330916.msf",337665,30,40
"106","SMC4K2PBF",30,1,"ConsensusLogLL",-5404.03983432322,"sim--639330916.msf",327754,30,40
"107","SMC4K2PBF",30,1,"BestSampledLogLL",-5402.20086967738,"sim--639330916.msf",327754,30,40
"108","SMC4K2PBF",30,1,"PartitionMetric",20,"sim--639330916.msf",327754,30,40
"109","SMC4K2PBF",30,1,"RobinsonFouldsMetric",0.183028869249538,"sim--639330916.msf",327754,30,40
"110","SMC4K2PBF",30,1,"KuhnerFelsenstein",0.000843740153597235,"sim--639330916.msf",327754,30,40
"111","SMC4K2PBF",30,2,"ConsensusLogLL",-5392.77123984549,"sim--639330916.msf",177962,30,40
"112","SMC4K2PBF",30,2,"BestSampledLogLL",-5393.40949389365,"sim--639330916.msf",177962,30,40
"113","SMC4K2PBF",30,2,"PartitionMetric",12,"sim--639330916.msf",177962,30,40
"114","SMC4K2PBF",30,2,"RobinsonFouldsMetric",0.170915970601577,"sim--639330916.msf",177962,30,40
"115","SMC4K2PBF",30,2,"KuhnerFelsenstein",0.000812005806916847,"sim--639330916.msf",177962,30,40
"116","SMC4K2PBF",30,3,"ConsensusLogLL",-5461.03781698502,"sim--639330916.msf",165083,30,40
"117","SMC4K2PBF",30,3,"BestSampledLogLL",-5458.13353142854,"sim--639330916.msf",165083,30,40
"118","SMC4K2PBF",30,3,"PartitionMetric",24,"sim--639330916.msf",165083,30,40
